"ENSEMBL" "SYMBOL" "GENENAME"
"8847" "ENSG00000158106" "RHPN1" "rhophilin Rho GTPase binding protein 1"
"8849" "ENSG00000158113" "LRRC43" "leucine rich repeat containing 43"
"8850" "ENSG00000158122" "PRXL2C" "peroxiredoxin like 2C"
"8851" "ENSG00000158125" "XDH" "xanthine dehydrogenase"
"8852" "ENSG00000158156" "XKR8" "XK related 8"
"8853" "ENSG00000158158" "CNNM4" "cyclin and CBS domain divalent metal cation transport mediator 4"
"8855" "ENSG00000158163" "DZIP1L" "DAZ interacting zinc finger protein 1 like"
"8856" "ENSG00000158169" "FANCC" "FA complementation group C"
"8857" "ENSG00000158186" "MRAS" "muscle RAS oncogene homolog"
"8859" "ENSG00000158201" "ABHD3" "abhydrolase domain containing 3"
"8860" "ENSG00000158220" "ESYT3" "extended synaptotagmin 3"
"8861" "ENSG00000158234" "FAIM" "Fas apoptotic inhibitory molecule"
"8862" "ENSG00000158246" "TENT5B" "terminal nucleotidyltransferase 5B"
"8863" "ENSG00000158258" "CLSTN2" "calsyntenin 2"
"8864" "ENSG00000158270" "COLEC12" "collectin subfamily member 12"
"8865" "ENSG00000158286" "RNF207" "ring finger protein 207"
"8867" "ENSG00000158292" "GPR153" "G protein-coupled receptor 153"
"8868" "ENSG00000158296" "SLC13A3" "solute carrier family 13 member 3"
"8869" "ENSG00000158301" "GPRASP2" "G protein-coupled receptor associated sorting protein 2"
"8870" "ENSG00000158315" "RHBDL2" "rhomboid like 2"
"8871" "ENSG00000158321" "AUTS2" "activator of transcription and developmental regulator AUTS2"
"8872" "ENSG00000158352" "SHROOM4" "shroom family member 4"
"8873" "ENSG00000158373" "H2BC5" "H2B clustered histone 5"
"8874" "ENSG00000158406" "H4C8" "H4 clustered histone 8"
"8875" "ENSG00000158411" "MITD1" "microtubule interacting and trafficking domain containing 1"
"8877" "ENSG00000158423" "RIBC1" "RIB43A domain with coiled-coils 1"
"8878" "ENSG00000158427" "TMSB15B" "thymosin beta 15B"
"8879" "ENSG00000158428" "CATIP" "ciliogenesis associated TTC17 interacting protein"
"8880" "ENSG00000158435" "CNOT11" "CCR4-NOT transcription complex subunit 11"
"8881" "ENSG00000158445" "KCNB1" "potassium voltage-gated channel subfamily B member 1"
"8882" "ENSG00000158457" "TSPAN33" "tetraspanin 33"
"8883" "ENSG00000158458" "NRG2" "neuregulin 2"
"8884" "ENSG00000158467" "AHCYL2" "adenosylhomocysteinase like 2"
"8886" "ENSG00000158473" "CD1D" "CD1d molecule"
"8888" "ENSG00000158481" "CD1C" "CD1c molecule"
"8889" "ENSG00000158483" "FAM86C1" "family with sequence similarity 86 member C1"
"8890" "ENSG00000158486" "DNAH3" "dynein axonemal heavy chain 3"
"8891" "ENSG00000158488" "CD1E" "CD1e molecule"
"8892" "ENSG00000158517" "NCF1" "neutrophil cytosolic factor 1"
"8894" "ENSG00000158528" "PPP1R9A" "protein phosphatase 1 regulatory subunit 9A"
"8896" "ENSG00000158552" "ZFAND2B" "zinc finger AN1-type containing 2B"
"8897" "ENSG00000158555" "GDPD5" "glycerophosphodiester phosphodiesterase domain containing 5"
"8898" "ENSG00000158560" "DYNC1I1" "dynein cytoplasmic 1 intermediate chain 1"
"8899" "ENSG00000158604" "TMED4" "transmembrane p24 trafficking protein 4"
"8900" "ENSG00000158615" "PPP1R15B" "protein phosphatase 1 regulatory subunit 15B"
"8901" "ENSG00000158623" "COPG2" "coatomer protein complex subunit gamma 2"
"8902" "ENSG00000158636" "EMSY" "EMSY transcriptional repressor, BRCA2 interacting"
"8903" "ENSG00000158669" "GPAT4" "glycerol-3-phosphate acyltransferase 4"
"8904" "ENSG00000158683" "PKD1L1" "polycystin 1 like 1, transient receptor potential channel interacting"
"8905" "ENSG00000158691" "ZSCAN12" "zinc finger and SCAN domain containing 12"
"8908" "ENSG00000158714" "SLAMF8" "SLAM family member 8"
"8909" "ENSG00000158715" "SLC45A3" "solute carrier family 45 member 3"
"8911" "ENSG00000158717" "RNF166" "ring finger protein 166"
"8912" "ENSG00000158747" "NBL1" "NBL1, DAN family BMP antagonist"
"8913" "ENSG00000158748" "HTR6" "5-hydroxytryptamine receptor 6"
"8916" "ENSG00000158792" "SPATA2L" "spermatogenesis associated 2 like"
"8919" "ENSG00000158805" "ZNF276" "zinc finger protein 276"
"8920" "ENSG00000158806" "NPM2" "nucleophosmin/nucleoplasmin 2"
"8921" "ENSG00000158813" "EDA" "ectodysplasin A"
"8922" "ENSG00000158816" "VWA5B1" "von Willebrand factor A domain containing 5B1"
"8923" "ENSG00000158825" "CDA" "cytidine deaminase"
"8925" "ENSG00000158850" "B4GALT3" "beta-1,4-galactosyltransferase 3"
"8926" "ENSG00000158856" "DMTN" "dematin actin binding protein"
"8927" "ENSG00000158859" "ADAMTS4" "ADAM metallopeptidase with thrombospondin type 1 motif 4"
"8930" "ENSG00000158869" "FCER1G" "Fc fragment of IgE receptor Ig"
"8931" "ENSG00000158874" "APOA2" "apolipoprotein A2"
"8932" "ENSG00000158882" "TOMM40L" "translocase of outer mitochondrial membrane 40 like"
"8934" "ENSG00000158955" "WNT9B" "Wnt family member 9B"
"8935" "ENSG00000158966" "CACHD1" "cache domain containing 1"
"8937" "ENSG00000158987" "RAPGEF6" "Rap guanine nucleotide exchange factor 6"
"8939" "ENSG00000159055" "MIS18A" "MIS18 kinetochore protein A"
"8940" "ENSG00000159063" "ALG8" "ALG8 alpha-1,3-glucosyltransferase"
"8942" "ENSG00000159079" "CFAP298" "cilia and flagella associated protein 298"
"8944" "ENSG00000159086" "PAXBP1" "PAX3 and PAX7 binding protein 1"
"8946" "ENSG00000159111" "MRPL10" "mitochondrial ribosomal protein L10"
"8947" "ENSG00000159128" "IFNGR2" "interferon gamma receptor 2"
"8950" "ENSG00000159147" "DONSON" "downstream neighbor of SON"
"8951" "ENSG00000159164" "SV2A" "synaptic vesicle glycoprotein 2A"
"8952" "ENSG00000159166" "LAD1" "ladinin 1"
"8953" "ENSG00000159167" "STC1" "stanniocalcin 1"
"8954" "ENSG00000159173" "TNNI1" "troponin I1, slow skeletal type"
"8956" "ENSG00000159189" "C1QC" "complement C1q C chain"
"8957" "ENSG00000159199" "ATP5MC1" "ATP synthase membrane subunit c locus 1"
"8960" "ENSG00000159208" "CIART" "circadian associated repressor of transcription"
"8962" "ENSG00000159212" "CLIC6" "chloride intracellular channel 6"
"8963" "ENSG00000159214" "CCDC24" "coiled-coil domain containing 24"
"8965" "ENSG00000159217" "IGF2BP1" "insulin like growth factor 2 mRNA binding protein 1"
"8966" "ENSG00000159228" "CBR1" "carbonyl reductase 1"
"8967" "ENSG00000159231" "CBR3" "carbonyl reductase 3"
"8968" "ENSG00000159239" NA NA
"8969" "ENSG00000159248" "GJD2" "gap junction protein delta 2"
"8971" "ENSG00000159259" "CHAF1B" "chromatin assembly factor 1 subunit B"
"8972" "ENSG00000159263" "SIM2" "SIM bHLH transcription factor 2"
"8973" "ENSG00000159267" "HLCS" "holocarboxylase synthetase"
"8974" "ENSG00000159289" "GOLGA6A" "golgin A6 family member A"
"8975" "ENSG00000159307" "SCUBE1" "signal peptide, CUB domain and EGF like domain containing 1"
"8979" "ENSG00000159337" "PLA2G4D" "phospholipase A2 group IVD"
"8980" "ENSG00000159339" "PADI4" "peptidyl arginine deiminase 4"
"8982" "ENSG00000159348" "CYB5R1" "cytochrome b5 reductase 1"
"8984" "ENSG00000159363" "ATP13A2" "ATPase cation transporting 13A2"
"8985" "ENSG00000159374" "M1AP" "meiosis 1 associated protein"
"8987" "ENSG00000159388" "BTG2" "BTG anti-proliferation factor 2"
"8989" "ENSG00000159403" "C1R" "complement C1r"
"8990" "ENSG00000159409" "CELF3" "CUGBP Elav-like family member 3"
"8991" "ENSG00000159423" "ALDH4A1" "aldehyde dehydrogenase 4 family member A1"
"8992" "ENSG00000159433" "STARD9" "StAR related lipid transfer domain containing 9"
"8994" "ENSG00000159450" "TCHH" "trichohyalin"
"8997" "ENSG00000159479" "MED8" "mediator complex subunit 8"
"8998" "ENSG00000159496" "RGL4" "ral guanine nucleotide dissociation stimulator like 4"
"9000" "ENSG00000159588" "CCDC17" "coiled-coil domain containing 17"
"9004" "ENSG00000159618" "ADGRG5" "adhesion G protein-coupled receptor G5"
"9005" "ENSG00000159625" "DRC7" "dynein regulatory complex subunit 7"
"9006" "ENSG00000159640" "ACE" "angiotensin I converting enzyme"
"9007" "ENSG00000159648" "TEPP" "testis, prostate and placenta expressed"
"9009" "ENSG00000159674" "SPON2" "spondin 2"
"9010" "ENSG00000159685" "CHCHD6" "coiled-coil-helix-coiled-coil-helix domain containing 6"
"9012" "ENSG00000159708" "LRRC36" "leucine rich repeat containing 36"
"9013" "ENSG00000159713" "TPPP3" "tubulin polymerization promoting protein family member 3"
"9014" "ENSG00000159714" "ZDHHC1" "zinc finger DHHC-type containing 1"
"9016" "ENSG00000159733" "ZFYVE28" "zinc finger FYVE-type containing 28"
"9017" "ENSG00000159753" "CARMIL2" "capping protein regulator and myosin 1 linker 2"
"9018" "ENSG00000159761" "C16orf86" "chromosome 16 open reading frame 86"
"9019" "ENSG00000159763" "PIP" "prolactin induced protein"
"9020" "ENSG00000159784" "FAM131B" "family with sequence similarity 131 member B"
"9021" "ENSG00000159788" "RGS12" "regulator of G protein signaling 12"
"9023" "ENSG00000159840" "ZYX" "zyxin"
"9025" "ENSG00000159871" "LYPD5" "LY6/PLAUR domain containing 5"
"9027" "ENSG00000159882" "ZNF230" "zinc finger protein 230"
"9028" "ENSG00000159884" "CCDC107" "coiled-coil domain containing 107"
"9029" "ENSG00000159885" "ZNF222" "zinc finger protein 222"
"9030" "ENSG00000159899" "NPR2" "natriuretic peptide receptor 2"
"9031" "ENSG00000159905" "ZNF221" "zinc finger protein 221"
"9032" "ENSG00000159915" "ZNF233" "zinc finger protein 233"
"9033" "ENSG00000159917" "ZNF235" "zinc finger protein 235"
"9035" "ENSG00000159958" "TNFRSF13C" "TNF receptor superfamily member 13C"
"9036" "ENSG00000159961" "OR3A3" "olfactory receptor family 3 subfamily A member 3"
"9038" "ENSG00000160013" "PTGIR" "prostaglandin I2 receptor"
"9041" "ENSG00000160050" "CCDC28B" "coiled-coil domain containing 28B"
"9042" "ENSG00000160051" "IQCC" "IQ motif containing C"
"9043" "ENSG00000160055" "TMEM234" "transmembrane protein 234"
"9045" "ENSG00000160062" "ZBTB8A" "zinc finger and BTB domain containing 8A"
"9046" "ENSG00000160072" "ATAD3B" "ATPase family AAA domain containing 3B"
"9049" "ENSG00000160094" "ZNF362" "zinc finger protein 362"
"9050" "ENSG00000160097" "FNDC5" "fibronectin type III domain containing 5"
"9051" "ENSG00000160111" "CPAMD8" "C3 and PZP like alpha-2-macroglobulin domain containing 8"
"9052" "ENSG00000160113" "NR2F6" "nuclear receptor subfamily 2 group F member 6"
"9053" "ENSG00000160117" "ANKLE1" "ankyrin repeat and LEM domain containing 1"
"9054" "ENSG00000160124" "CCDC58" "coiled-coil domain containing 58"
"9056" "ENSG00000160145" "KALRN" "kalirin RhoGEF kinase"
"9057" "ENSG00000160179" "ABCG1" "ATP binding cassette subfamily G member 1"
"9058" "ENSG00000160180" "TFF3" "trefoil factor 3"
"9059" "ENSG00000160182" "TFF1" "trefoil factor 1"
"9060" "ENSG00000160183" "TMPRSS3" "transmembrane serine protease 3"
"9061" "ENSG00000160185" "UBASH3A" "ubiquitin associated and SH3 domain containing A"
"9062" "ENSG00000160188" "RSPH1" "radial spoke head component 1"
"9063" "ENSG00000160190" "SLC37A1" "solute carrier family 37 member 1"
"9064" "ENSG00000160191" "PDE9A" "phosphodiesterase 9A"
"9065" "ENSG00000160193" "WDR4" "WD repeat domain 4"
"9068" "ENSG00000160200" "CBS" "cystathionine beta-synthase"
"9070" "ENSG00000160207" "HSF2BP" "heat shock transcription factor 2 binding protein"
"9075" "ENSG00000160214" "RRP1" "ribosomal RNA processing 1"
"9078" "ENSG00000160219" "GAB3" "GRB2 associated binding protein 3"
"9079" "ENSG00000160221" "GATD3A" "glutamine amidotransferase like class 1 domain containing 3A"
"9080" "ENSG00000160223" "ICOSLG" "inducible T cell costimulator ligand"
"9081" "ENSG00000160224" "AIRE" "autoimmune regulator"
"9082" "ENSG00000160226" "CFAP410" "cilia and flagella associated protein 410"
"9084" "ENSG00000160233" "LRRC3" "leucine rich repeat containing 3"
"9085" "ENSG00000160255" "ITGB2" "integrin subunit beta 2"
"9086" "ENSG00000160256" "FAM207A" "family with sequence similarity 207 member A"
"9088" "ENSG00000160284" "SPATC1L" "spermatogenesis and centriole associated 1 like"
"9089" "ENSG00000160285" "LSS" "lanosterol synthase"
"9090" "ENSG00000160293" "VAV2" "vav guanine nucleotide exchange factor 2"
"9091" "ENSG00000160294" "MCM3AP" "minichromosome maintenance complex component 3 associated protein"
"9092" "ENSG00000160298" "C21orf58" "chromosome 21 open reading frame 58"
"9093" "ENSG00000160299" "PCNT" "pericentrin"
"9095" "ENSG00000160307" "S100B" "S100 calcium binding protein B"
"9097" "ENSG00000160321" "ZNF208" "zinc finger protein 208"
"9098" "ENSG00000160323" "ADAMTS13" "ADAM metallopeptidase with thrombospondin type 1 motif 13"
"9099" "ENSG00000160325" "CACFD1" "calcium channel flower domain containing 1"
"9100" "ENSG00000160326" "SLC2A6" "solute carrier family 2 member 6"
"9101" "ENSG00000160336" "ZNF761" "zinc finger protein 761"
"9102" "ENSG00000160345" "C9orf116" "chromosome 9 open reading frame 116"
"9103" "ENSG00000160352" "ZNF714" "zinc finger protein 714"
"9104" "ENSG00000160360" "GPSM1" "G protein signaling modulator 1"
"9105" "ENSG00000160392" "C19orf47" "chromosome 19 open reading frame 47"
"9106" "ENSG00000160401" "CFAP157" "cilia and flagella associated protein 157"
"9107" "ENSG00000160404" "TOR2A" "torsin family 2 member A"
"9108" "ENSG00000160408" "ST6GALNAC6" "ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
"9109" "ENSG00000160410" "SHKBP1" "SH3KBP1 binding protein 1"
"9113" "ENSG00000160447" "PKN3" "protein kinase N3"
"9114" "ENSG00000160460" "SPTBN4" "spectrin beta, non-erythrocytic 4"
"9115" "ENSG00000160471" "COX6B2" "cytochrome c oxidase subunit 6B2"
"9116" "ENSG00000160472" "TMEM190" "transmembrane protein 190"
"9119" "ENSG00000160563" "MED27" "mediator complex subunit 27"
"9120" "ENSG00000160570" "DEDD2" "death effector domain containing 2"
"9122" "ENSG00000160588" "MPZL3" "myelin protein zero like 3"
"9123" "ENSG00000160593" "JAML" "junction adhesion molecule like"
"9124" "ENSG00000160602" "NEK8" "NIMA related kinase 8"
"9125" "ENSG00000160606" "TLCD1" "TLC domain containing 1"
"9126" "ENSG00000160613" "PCSK7" "proprotein convertase subtilisin/kexin type 7"
"9128" "ENSG00000160654" "CD3G" "CD3g molecule"
"9129" "ENSG00000160678" "S100A1" "S100 calcium binding protein A1"
"9131" "ENSG00000160683" "CXCR5" "C-X-C motif chemokine receptor 5"
"9135" "ENSG00000160695" "VPS11" "VPS11 core subunit of CORVET and HOPS complexes"
"9136" "ENSG00000160703" "NLRX1" "NLR family member X1"
"9138" "ENSG00000160712" "IL6R" "interleukin 6 receptor"
"9140" "ENSG00000160716" "CHRNB2" "cholinergic receptor nicotinic beta 2 subunit"
"9141" "ENSG00000160741" "CRTC2" "CREB regulated transcription coactivator 2"
"9144" "ENSG00000160753" "RUSC1" "RUN and SH3 domain containing 1"
"9145" "ENSG00000160767" "FAM189B" "family with sequence similarity 189 member B"
"9146" "ENSG00000160781" "PAQR6" "progestin and adipoQ receptor family member 6"
"9150" "ENSG00000160791" "CCR5" "C-C motif chemokine receptor 5 (gene/pseudogene)"
"9152" "ENSG00000160799" "CCDC12" "coiled-coil domain containing 12"
"9154" "ENSG00000160808" "MYL3" "myosin light chain 3"
"9155" "ENSG00000160813" "PPP1R35" "protein phosphatase 1 regulatory subunit 35"
"9156" "ENSG00000160818" "GPATCH4" "G-patch domain containing 4"
"9157" "ENSG00000160838" "LRRC71" "leucine rich repeat containing 71"
"9158" "ENSG00000160856" "FCRL3" "Fc receptor like 3"
"9159" "ENSG00000160862" "AZGP1" "alpha-2-glycoprotein 1, zinc-binding"
"9160" "ENSG00000160867" "FGFR4" "fibroblast growth factor receptor 4"
"9162" "ENSG00000160882" "CYP11B1" "cytochrome P450 family 11 subfamily B member 1"
"9163" "ENSG00000160883" "HK3" "hexokinase 3"
"9164" "ENSG00000160886" "LY6K" "lymphocyte antigen 6 family member K"
"9165" "ENSG00000160888" "IER2" "immediate early response 2"
"9167" "ENSG00000160917" "CPSF4" "cleavage and polyadenylation specific factor 4"
"9168" "ENSG00000160932" "LY6E" "lymphocyte antigen 6 family member E"
"9169" "ENSG00000160948" "VPS28" "VPS28 subunit of ESCRT-I"
"9170" "ENSG00000160949" "TONSL" "tonsoku like, DNA repair protein"
"9171" "ENSG00000160953" "PWWP3A" "PWWP domain containing 3A, DNA repair factor"
"9172" "ENSG00000160957" "RECQL4" "RecQ like helicase 4"
"9173" "ENSG00000160959" "LRRC14" "leucine rich repeat containing 14"
"9176" "ENSG00000160991" "ORAI2" "ORAI calcium release-activated calcium modulator 2"
"9177" "ENSG00000160993" "ALKBH4" "alkB homolog 4, lysine demethylase"
"9178" "ENSG00000160999" "SH2B2" "SH2B adaptor protein 2"
"9179" "ENSG00000161010" "MRNIP" "MRN complex interacting protein"
"9183" "ENSG00000161021" "MAML1" "mastermind like transcriptional coactivator 1"
"9185" "ENSG00000161040" "FBXL13" "F-box and leucine rich repeat protein 13"
"9186" "ENSG00000161048" "NAPEPLD" "N-acyl phosphatidylethanolamine phospholipase D"
"9187" "ENSG00000161055" "SCGB3A1" "secretoglobin family 3A member 1"
"9188" "ENSG00000161057" "PSMC2" "proteasome 26S subunit, ATPase 2"
"9189" "ENSG00000161082" "CELF5" "CUGBP Elav-like family member 5"
"9190" "ENSG00000161091" "MFSD12" "major facilitator superfamily domain containing 12"
"9191" "ENSG00000161133" "USP41" "ubiquitin specific peptidase 41"
"9192" "ENSG00000161179" "YDJC" "YdjC chitooligosaccharide deacetylase homolog"
"9196" "ENSG00000161217" "PCYT1A" "phosphate cytidylyltransferase 1, choline, alpha"
"9197" "ENSG00000161243" "FBXO27" "F-box protein 27"
"9198" "ENSG00000161249" "DMKN" "dermokine"
"9199" "ENSG00000161265" "U2AF1L4" "U2 small nuclear RNA auxiliary factor 1 like 4"
"9200" "ENSG00000161267" "BDH1" "3-hydroxybutyrate dehydrogenase 1"
"9201" "ENSG00000161270" "NPHS1" "NPHS1 adhesion molecule, nephrin"
"9202" "ENSG00000161277" "THAP8" "THAP domain containing 8"
"9203" "ENSG00000161281" "COX7A1" "cytochrome c oxidase subunit 7A1"
"9204" "ENSG00000161298" "ZNF382" "zinc finger protein 382"
"9205" "ENSG00000161328" "LRRC56" "leucine rich repeat containing 56"
"9206" "ENSG00000161381" "PLXDC1" "plexin domain containing 1"
"9207" "ENSG00000161395" "PGAP3" "post-GPI attachment to proteins phospholipase 3"
"9208" "ENSG00000161405" "IKZF3" "IKAROS family zinc finger 3"
"9209" "ENSG00000161509" "GRIN2C" "glutamate ionotropic receptor NMDA type subunit 2C"
"9210" "ENSG00000161513" "FDXR" "ferredoxin reductase"
"9212" "ENSG00000161533" "ACOX1" "acyl-CoA oxidase 1"
"9214" "ENSG00000161544" "CYGB" "cytoglobin"
"9216" "ENSG00000161551" "ZNF577" "zinc finger protein 577"
"9217" "ENSG00000161558" "TMEM143" "transmembrane protein 143"
"9218" "ENSG00000161618" "ALDH16A1" "aldehyde dehydrogenase 16 family member A1"
"9219" "ENSG00000161634" "DCD" "dermcidin"
"9220" "ENSG00000161638" "ITGA5" "integrin subunit alpha 5"
"9221" "ENSG00000161640" "SIGLEC11" "sialic acid binding Ig like lectin 11"
"9223" "ENSG00000161647" "MPP3" "membrane palmitoylated protein 3"
"9224" "ENSG00000161652" "IZUMO2" "IZUMO family member 2"
"9225" "ENSG00000161653" "NAGS" "N-acetylglutamate synthase"
"9227" "ENSG00000161664" "ASB16" "ankyrin repeat and SOCS box containing 16"
"9228" "ENSG00000161671" "EMC10" "ER membrane protein complex subunit 10"
"9229" "ENSG00000161677" "JOSD2" "Josephin domain containing 2"
"9230" "ENSG00000161681" "SHANK1" "SH3 and multiple ankyrin repeat domains 1"
"9231" "ENSG00000161682" "FAM171A2" "family with sequence similarity 171 member A2"
"9232" "ENSG00000161692" "DBF4B" "DBF4 zinc finger B"
"9233" "ENSG00000161714" "PLCD3" "phospholipase C delta 3"
"9234" "ENSG00000161791" "FMNL3" "formin like 3"
"9235" "ENSG00000161798" "AQP5" "aquaporin 5"
"9236" "ENSG00000161800" "RACGAP1" "Rac GTPase activating protein 1"
"9238" "ENSG00000161835" "GRASP" "general receptor for phosphoinositides 1 associated scaffold protein"
"9239" "ENSG00000161847" "RAVER1" "ribonucleoprotein, PTB binding 1"
"9240" "ENSG00000161888" "SPC24" "SPC24 component of NDC80 kinetochore complex"
"9241" "ENSG00000161896" "IP6K3" "inositol hexakisphosphate kinase 3"
"9242" "ENSG00000161904" "LEMD2" "LEM domain containing 2"
"9243" "ENSG00000161905" "ALOX15" "arachidonate 15-lipoxygenase"
"9244" "ENSG00000161914" "ZNF653" "zinc finger protein 653"
"9245" "ENSG00000161920" "MED11" "mediator complex subunit 11"
"9246" "ENSG00000161921" "CXCL16" "C-X-C motif chemokine ligand 16"
"9247" "ENSG00000161929" "SCIMP" "SLP adaptor and CSK interacting membrane protein"
"9248" "ENSG00000161955" "TNFSF13" "TNF superfamily member 13"
"9249" "ENSG00000161956" "SENP3" "SUMO specific peptidase 3"
"9250" "ENSG00000161958" "FGF11" "fibroblast growth factor 11"
"9253" "ENSG00000161980" "POLR3K" "RNA polymerase III subunit K"
"9254" "ENSG00000161981" "SNRNP25" "small nuclear ribonucleoprotein U11/U12 subunit 25"
"9255" "ENSG00000161996" "WDR90" "WD repeat domain 90"
"9256" "ENSG00000161999" "JMJD8" "jumonji domain containing 8"
"9257" "ENSG00000162004" "CCDC78" "coiled-coil domain containing 78"
"9258" "ENSG00000162006" NA NA
"9259" "ENSG00000162032" "SPSB3" "splA/ryanodine receptor domain and SOCS box containing 3"
"9260" "ENSG00000162040" "HS3ST6" "heparan sulfate-glucosamine 3-sulfotransferase 6"
"9262" "ENSG00000162063" "CCNF" "cyclin F"
"9264" "ENSG00000162066" "AMDHD2" "amidohydrolase domain containing 2"
"9265" "ENSG00000162069" "BICDL2" "BICD family like cargo adaptor 2"
"9266" "ENSG00000162073" "PAQR4" "progestin and adipoQ receptor family member 4"
"9267" "ENSG00000162076" "FLYWCH2" "FLYWCH family member 2"
"9268" "ENSG00000162078" "ZG16B" "zymogen granule protein 16B"
"9271" "ENSG00000162105" "SHANK2" "SH3 and multiple ankyrin repeat domains 2"
"9272" "ENSG00000162129" "CLPB" "ClpB homolog, mitochondrial AAA ATPase chaperonin"
"9273" "ENSG00000162139" "NEU3" "neuraminidase 3"
"9275" "ENSG00000162148" "PPP1R32" "protein phosphatase 1 regulatory subunit 32"
"9276" "ENSG00000162174" "ASRGL1" "asparaginase and isoaspartyl peptidase 1"
"9278" "ENSG00000162194" "LBHD1" "LBH domain containing 1"
"9279" "ENSG00000162222" "TTC9C" "tetratricopeptide repeat domain 9C"
"9280" "ENSG00000162227" "TAF6L" "TATA-box binding protein associated factor 6 like"
"9283" "ENSG00000162241" "SLC25A45" "solute carrier family 25 member 45"
"9285" "ENSG00000162267" "ITIH3" "inter-alpha-trypsin inhibitor heavy chain 3"
"9287" "ENSG00000162300" "ZFPL1" "zinc finger protein like 1"
"9289" "ENSG00000162337" "LRP5" "LDL receptor related protein 5"
"9290" "ENSG00000162341" "TPCN2" "two pore segment channel 2"
"9291" "ENSG00000162365" "CYP4A22" "cytochrome P450 family 4 subfamily A member 22"
"9292" "ENSG00000162366" "PDZK1IP1" "PDZK1 interacting protein 1"
"9293" "ENSG00000162367" "TAL1" "TAL bHLH transcription factor 1, erythroid differentiation factor"
"9295" "ENSG00000162373" "BEND5" "BEN domain containing 5"
"9296" "ENSG00000162377" "COA7" "cytochrome c oxidase assembly factor 7 (putative)"
"9297" "ENSG00000162378" "ZYG11B" "zyg-11 family member B, cell cycle regulator"
"9298" "ENSG00000162384" "CZIB" "CXXC motif containing zinc binding protein"
"9300" "ENSG00000162390" "ACOT11" "acyl-CoA thioesterase 11"
"9301" "ENSG00000162391" "FAM151A" "family with sequence similarity 151 member A"
"9302" "ENSG00000162396" "PARS2" "prolyl-tRNA synthetase 2, mitochondrial"
"9303" "ENSG00000162398" "LEXM" "lymphocyte expansion molecule"
"9304" "ENSG00000162399" "BSND" "barttin CLCNK type accessory beta subunit"
"9308" "ENSG00000162409" "PRKAA2" "protein kinase AMP-activated catalytic subunit alpha 2"
"9310" "ENSG00000162415" "ZSWIM5" "zinc finger SWIM-type containing 5"
"9312" "ENSG00000162426" "SLC45A1" "solute carrier family 45 member 1"
"9314" "ENSG00000162433" "AK4" "adenylate kinase 4"
"9316" "ENSG00000162437" "RAVER2" "ribonucleoprotein, PTB binding 2"
"9317" "ENSG00000162438" "CTRC" "chymotrypsin C"
"9319" "ENSG00000162444" "RBP7" "retinol binding protein 7"
"9320" "ENSG00000162456" "KNCN" "kinocilin"
"9321" "ENSG00000162458" "FBLIM1" "filamin binding LIM protein 1"
"9322" "ENSG00000162461" "SLC25A34" "solute carrier family 25 member 34"
"9323" "ENSG00000162482" "AKR7A3" "aldo-keto reductase family 7 member A3"
"9324" "ENSG00000162490" "DRAXIN" "dorsal inhibitory axon guidance protein"
"9325" "ENSG00000162493" "PDPN" "podoplanin"
"9326" "ENSG00000162494" "LRRC38" "leucine rich repeat containing 38"
"9328" "ENSG00000162510" "MATN1" "matrilin 1"
"9329" "ENSG00000162511" "LAPTM5" "lysosomal protein transmembrane 5"
"9330" "ENSG00000162512" "SDC3" "syndecan 3"
"9332" "ENSG00000162520" "SYNC" "syncoilin, intermediate filament protein"
"9334" "ENSG00000162522" "KIAA1522" "KIAA1522"
"9335" "ENSG00000162526" "TSSK3" "testis specific serine kinase 3"
"9336" "ENSG00000162542" "TMCO4" "transmembrane and coiled-coil domains 4"
"9337" "ENSG00000162543" "UBXN10" "UBX domain protein 10"
"9338" "ENSG00000162545" "CAMK2N1" "calcium/calmodulin dependent protein kinase II inhibitor 1"
"9339" "ENSG00000162551" "ALPL" "alkaline phosphatase, biomineralization associated"
"9340" "ENSG00000162552" "WNT4" "Wnt family member 4"
"9341" "ENSG00000162571" "TTLL10" "tubulin tyrosine ligase like 10"
"9342" "ENSG00000162572" "SCNN1D" "sodium channel epithelial 1 delta subunit"
"9343" "ENSG00000162576" "MXRA8" "matrix remodeling associated 8"
"9344" "ENSG00000162585" "FAAP20" "FA core complex associated protein 20"
"9345" "ENSG00000162591" "MEGF6" "multiple EGF like domains 6"
"9346" "ENSG00000162592" "CCDC27" "coiled-coil domain containing 27"
"9347" "ENSG00000162594" "IL23R" "interleukin 23 receptor"
"9348" "ENSG00000162598" "C1orf87" "chromosome 1 open reading frame 87"
"9349" "ENSG00000162599" "NFIA" "nuclear factor I A"
"9350" "ENSG00000162600" "OMA1" "OMA1 zinc metallopeptidase"
"9351" "ENSG00000162601" "MYSM1" "Myb like, SWIRM and MPN domains 1"
"9355" "ENSG00000162614" "NEXN" "nexilin F-actin binding protein"
"9356" "ENSG00000162616" "DNAJB4" "DnaJ heat shock protein family (Hsp40) member B4"
"9357" "ENSG00000162618" "ADGRL4" "adhesion G protein-coupled receptor L4"
"9358" "ENSG00000162620" "LRRIQ3" "leucine rich repeats and IQ motif containing 3"
"9359" "ENSG00000162623" "TYW3" "tRNA-yW synthesizing protein 3 homolog"
